#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0400.221.04.333.20 2017,,235,ERREGAI ETA KARBURANTEAK,25000.0,25000.0,,15353.48,9646.52,15353.48,15314.81,15314.81,15314.81
1 0400.221.04.333.20 2016,,878,ERREGAI ETA KARBURANTEAK,,73.88,,73.88,,73.88,73.88,73.88,73.88
1 0400.221.04.920.40 2017,,440,ERREGAI ETA KARBURANTEAK,40000.0,40000.0,,17554.62,22445.38,17554.62,17554.62,17554.62,17415.99
1 0400.221.05.153.40 2017,,70,ARROPAK,10000.0,10000.0,,2499.95,7500.05,2499.95,2499.95,2499.95,2499.95
1 0400.221.05.164.00 2017,,86,ARROPAK,1000.0,1000.0,,51.61,948.39,51.61,51.61,51.61,51.61
1 0400.221.05.171.00 2017,,432,ARROPAK,2300.0,2300.0,,,2300.0,,,,
1 0400.221.05.323.00 2017,,195,ARROPAK,2500.0,2500.0,,332.14,2167.86,332.14,332.14,332.14,332.14
1 0400.221.05.920.40 2017,,441,ARROPAK,1500.0,1500.0,,1048.75,451.25,1048.75,1048.75,1048.75,1048.75
1 0400.221.09.920.40 2017,,442,GARBIKETA/TXUKUNKETA PRODUKTUAK,10000.0,10000.0,,6565.89,3434.11,6565.89,4984.85,4984.85,4984.85
1 0400.221.96.153.30 2017,,58,HERRIKO MANTENIMENDU NAGUSIA,106065.65,106065.65,,39255.0,66810.65,39255.0,30190.59,30190.59,25440.48
1 0400.221.96.153.30 2016,,879,HERRIKO MANTENIMENDU NAGUSIA,,42102.72,,42102.72,,42102.72,37995.49,37995.49,37995.49
1 0400.221.96.442.00 2017,,365,MANTENIMENDUA.MARKESINAK,3000.0,3000.0,,580.8,2419.2,580.8,580.8,580.8,580.8
1 0400.221.99.133.20 2017,,26,BESTELAK.HORNID.(SEMAFOR/SEINALEAK),25000.0,25000.0,,21711.69,3288.31,21711.69,13269.41,12240.3,8299.97
1 0400.221.99.133.20 2016,,880,BESTELAK.HORNID.(SEMAFOR/SEINALEAK),,2094.23,,2094.23,,2094.23,,,
1 0400.221.99.171.00 2017,,107,BESTELAKO HORNIDURAK,55000.0,55000.0,,45201.0,9799.0,45201.0,23093.49,23093.49,20806.59
1 0400.222.01.920.40 2017,,443,TELEFONO BIDEZKOAK,60000.0,60000.0,14025.84,28574.08,17400.08,28574.08,28574.08,28574.08,28574.08
1 0400.224.01.920.40 2017,,444,ERAIKIN ETA LOKALENAK.ASEGURUAK,58000.0,58000.0,,56633.04,1366.96,56633.04,56633.04,56633.04,56633.04
1 0400.224.02.153.40 2017,,71,IBILGAILUENAK. ASEGURUAK,8000.0,8000.0,,6461.56,1538.44,6461.56,6461.56,6461.56,6461.56
1 0400.225.02.425.00 2017,,339,LURRALDE HISTORIKOKO ZERGAK,3000.0,3000.0,,,3000.0,,,,
1 0400.226.99.153.40 2017,,72,BESTE HAINBAT GASTU,20000.0,20000.0,,15553.95,4446.05,15553.95,15553.95,15766.71,15475.83
1 0400.226.99.165.00 2017,,98,HAINB.GASTU.KONTROL.ERAKUND.IKUSKAP.,3000.0,3000.0,,4141.81,-1141.81,4141.81,3797.08,3797.08,3797.08
1 0400.226.99.165.00 2016,,881,HAINB.GASTU.KONTROL.ERAKUND.IKUSKAP.,,162.68,,162.68,,162.68,,,
1 0400.226.99.171.00 2017,,108,EZPOND.BELAR-SASTR.GARBITZ.,60000.0,60000.0,,60471.9,-471.9,60471.9,11227.15,11227.15,11227.15
1 0400.227.01.134.00 2017,,30,GARBIKETA,36000.0,36000.0,,38401.51,-2401.51,38401.51,23865.52,23865.52,23865.52
1 0400.227.01.153.30 2017,,59,GARBIKETA,17000.0,17000.0,,21767.62,-4767.62,21767.62,14511.6,14511.6,14511.6
1 0400.227.01.163.00 2017,,79,GARBIKETA,70000.0,110000.0,,39657.21,70342.79,39657.21,33876.31,29203.05,29038.05
1 0400.227.01.163.00 2016,,882,GARBIKETA,,5141.29,,5141.29,,5141.29,5141.29,5141.29,5141.29
1 0400.227.01.164.00 2017,,87,GARBIKETA,1000.0,1000.0,,930.6,69.4,930.6,930.6,930.6,930.6
1 0400.227.01.323.00 2017,,196,GARBIKETA,560000.0,560000.0,,531734.15,28265.85,531734.15,335350.01,335350.01,335350.01
