#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0400.160.04.165.00 2025 (95),,,ELKARKIDETZAREN KUOTAK,3323.42,3323.42,0.0,2205.94,1117.48,1117.48,1117.48
1 0400.160.04.171.00 2025 (105),,,ELKARKIDETZAREN KUOTAK,4431.23,4431.23,0.0,3313.75,1117.48,1117.48,1117.48
1 0400.160.04.323.00 2025 (190),,,ELKARKIDETZAREN KUOTAK,5539.04,5539.04,0.0,3304.08,2234.96,2234.96,2234.96
1 0400.160.04.920.40 2025 (435),,,ELKARKIDETZAREN KUOTAK,3006.91,3006.91,0.0,1889.43,1117.48,1117.48,1117.48
1 0400.202.01.153.40 2025 (3178),,,ARRENDAMIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.210.01.153.40 2025 (67),,,AZPIEGITURA ETA ONDASUN ,190000.0,175000.0,1258.47,24314.06,149427.47,149427.47,87344.01
1 0400.210.01.164.00 2025 (2942),,,AZPIEGITURA ETA ONDASUN ,0.0,0.0,0.0,-330.61,330.61,330.61,330.61
1 0400.210.01.454.00 2025 (367),,,AZPIEGITURA ETA ONDASUN ,73500.0,73500.0,0.0,39080.77,34419.23,34419.23,2292.95
1 0400.211.01.231.50 2025 (2407),,,ERAIKINAK ETA BESTELAKO ,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0
1 0400.211.01.231.90 2025 (1776),,,ERAIKINAK ETA BESTELAKO ,50000.0,50000.0,0.0,49674.93,325.07,325.07,325.07
1 0400.211.01.323.00 2025 (191),,,ERAIKIN/BESTEL.ERAIK.,144249.0,136749.0,0.0,86646.31,50102.69,50102.69,32691.75
1 0400.211.01.333.10 2025 (226),,,ERAIKINAK ETA BESTELAKO ,50000.0,50000.0,0.0,44662.46,5337.54,5337.54,3337.54
1 0400.211.01.333.20 2025 (233),,,ERAIKINAK ETA BESTELAKO ,25000.0,25000.0,0.0,17855.12,7144.88,7144.88,3746.86
1 0400.211.01.334.50 2025 (1751),,,ERAIKINAK ETA BESTELAKO ,25000.0,25000.0,0.0,6639.54,18360.46,18360.46,7751.22
1 0400.211.01.920.40 2025 (436),,,ERAIKINAK ETA BESTELAKO ,89775.18,89775.18,0.0,16174.23,73600.95,73600.95,35404.25
1 0400.212.01.134.00 2025 (28),,,MAKINERIA/INSTALAZ/TRESNERIA. ,549105.29,503315.68,0.0,34151.72,469163.96,469163.96,155285.04
1 0400.212.01.153.40 2025 (3174),,,"MAKINARIA, INSTALAZIOAK ETA ",0.0,0.0,839.66,-1606.72,767.06,767.06,0.0
1 0400.212.01.163.00 2025 (77),,,MAKINERIA/INSTALAZ/TRESNERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.212.01.164.00 2025 (85),,,MAKIN/INSTALAZ/TRESNERIA.,9200.0,9200.0,0.0,7555.61,1644.39,1644.39,301.81
1 0400.212.01.165.00 2025 (96),,,MAKINERIA/INSTALAZ/TRESNERIA,90000.0,90000.0,0.0,30203.17,59796.83,59796.83,55661.88
1 0400.212.01.171.00 2025 (106),,,MAKINERIA/INSTALAZ/TRESNERIA,8500.0,8500.0,0.0,-2390.0,10890.0,10890.0,2718.03
1 0400.212.01.231.50 2025 (2408),,,"MAKINARIA,INSTALAZIOAK ETA ",8180.0,8180.0,78.27,-1384.16,9485.89,9485.89,2209.62
1 0400.212.01.323.00 2025 (192),,,"MAKINERIA, INSTALAZIOAK ETA ",68473.64,68473.64,0.0,-1676.19,70149.83,70149.83,37752.21
1 0400.212.01.333.10 2025 (787),,,"MAKINERIA, INSTALAZIOAK ETA ",13280.0,13280.0,488.33,-5182.7,17974.37,17974.37,8539.93
1 0400.212.01.333.20 2025 (993),,,"MAKINERIA, INSTALAZIOAK ETA ",24975.0,24975.0,450.77,-5899.46,30423.69,30423.69,20101.07
1 0400.212.01.334.50 2025 (1752),,,"MAKINERIA, INSTALAZAIOAK ETA ",46600.0,46600.0,900.0,17044.26,28655.74,28655.74,7122.27
1 0400.212.01.920.40 2025 (437),,,"MAKINERIA,INSTALAZIOAK ETA ",62505.0,62505.0,767.06,13638.49,48099.45,48099.45,21736.9
1 0400.213.01.153.40 2025 (68),,,GARRAIO-MATERIALA. ,25000.0,25000.0,0.0,2985.99,22014.01,22014.01,12666.19
1 0400.215.02.920.40 2025 (2448),,,INFORMAZIO-PROZEZUETARAKO ,15000.0,15000.0,0.0,15000.0,0.0,0.0,0.0
1 0400.221.01.134.00 2025 (29),,,ENERGIA ELEKTRIKOA,130000.0,130000.0,0.0,0.0,130000.0,130000.0,46764.51
1 0400.221.01.165.00 2025 (97),,,ENERGIA ELEKTRIKOA,450000.0,450000.0,0.0,28366.0,421634.0,421634.0,141372.98
1 0400.221.01.231.50 2025 (2409),,,ENERGIA ELEKTRIKOA,10000.0,10000.0,0.0,0.0,10000.0,10000.0,3449.08
1 0400.221.01.323.00 2025 (193),,,ENERGIA ELEKTRIKOA,182218.0,182218.0,0.0,-9184.77,191402.77,191402.77,55978.86
1 0400.221.01.333.10 2025 (228),,,ENERGIA ELEKTRIKOA,31212.0,31212.0,0.0,0.0,31212.0,31212.0,6482.85
1 0400.221.01.333.20 2025 (234),,,ENERGIA ELEKTRIKOA,64000.0,64000.0,0.0,0.0,64000.0,64000.0,32365.56
1 0400.221.01.334.50 2025 (1753),,,ENERGIA ELEKTRIKOA.,58500.0,58500.0,0.0,0.0,58500.0,58500.0,22772.92
1 0400.221.01.920.40 2025 (438),,,ENERGIA ELEKTRIKOA,150000.0,150000.0,0.0,-80.17,150080.17,150080.17,56275.29
1 0400.221.02.920.40 2025 (439),,,URA,78000.0,78000.0,0.0,52131.24,25868.76,25868.76,25868.76
