#Partida,b,c,Descripción,Pto inicial,Pto definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Oblig. recon.
1 0400.221.05.171.00 2025 (432),,,VESTUARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.05.323.00 2025 (195),,,VESTUARIO,2000.0,2000.0,0.0,847.0,1153.0,847.0,340.8
1 0400.221.05.334.50 2025 (2406),,,VESTUARO,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0400.221.05.920.40 2025 (441),,,VESTUARIO,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0400.221.09.337.10 2025 (2436),,,PRODUCTOS DE LIMPIEZA Y ASEO,500.0,500.0,0.0,500.0,0.0,500.0,497.19
1 0400.221.09.342.14 2025 (2703),,,PRODUCTOS DE LIMPIEZA Y ASEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.09.920.40 2025 (442),,,PRODUCTOS DE LIMPIEZA Y ASEO,8500.0,8500.0,0.0,3808.58,4691.42,3808.58,3685.53
1 0400.221.96.153.30 2025 (58),,,MANTENIMIENTO URBANO,169200.0,169200.0,237.16,98915.48,70047.36,98915.48,24575.46
1 0400.221.96.442.00 2025 (365),,,MANTENIMIENTO.MARQUESINAS,2500.0,2500.0,0.0,0.0,2500.0,0.0,0.0
1 0400.221.99.133.20 2025 (26),,,OTROS SUM.,16000.0,16000.0,0.0,34803.05,-18803.05,34803.05,14941.44
1 0400.221.99.171.00 2025 (107),,,OTROS SUMINISTROS,76000.0,76000.0,0.0,95352.1,-19352.1,95352.1,37869.69
1 0400.221.99.323.00 2025 (2888),,,OTROS SUMINISTROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.99.334.50 2025 (3176),,,OTROS SUMINISTROS,0.0,0.0,0.0,3252.48,-3252.48,3252.48,0.0
1 0400.222.01.231.50 2025 (2411),,,TELEFONICAS,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0
1 0400.222.01.334.50 2025 (2435),,,TELEFONICAS,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0
1 0400.222.01.920.40 2025 (443),,,TELEFONICAS,100000.0,100000.0,0.0,57167.6,42832.4,57167.6,22505.0
1 0400.224.01.920.40 2025 (444),,,DE EDIFICIOS Y LOCALES.SEGUROS,100000.0,100000.0,0.0,84744.63,15255.37,84744.63,84744.63
1 0400.224.02.153.40 2025 (71),,,DE VEHICULOS. SEGUROS,7000.0,7000.0,0.0,10500.0,-3500.0,10500.0,0.0
1 0400.225.02.425.00 2025 (339),,,TRIBUTOS DEL TERRITORIO ,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0
1 0400.226.99.153.40 2025 (72),,,"ENGANCHES/CONS.FESTEJ-FERIAS,",18000.0,18000.0,0.0,18336.97,-336.97,18336.97,12407.97
1 0400.226.99.165.00 2025 (98),,,OTROS GTOS DIV.INSPECC.ORGAN.,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0
1 0400.226.99.171.00 2025 (108),,,OTR.GTOS DIV.DESBR.,92029.5,101029.5,0.0,76839.85,24189.65,76839.85,5432.9
1 0400.227.01.134.00 2025 (30),,,LIMPIEZA,349556.43,349556.43,0.0,225916.99,123639.44,225916.99,68677.76
1 0400.227.01.152.20 2025 (2919),,,LIMPIEZA,4153.23,4153.23,0.0,3734.16,419.07,3734.16,1244.72
1 0400.227.01.153.30 2025 (59),,,LIMPIEZA,80314.23,80314.23,0.0,49791.74,30522.49,49791.74,16597.4
1 0400.227.01.163.00 2025 (79),,,LIMPIEZA,240545.0,240545.0,0.0,55378.47,185166.53,55378.47,38455.65
