#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Baimendua ,Erabilgarria,Erabilia ,Onart. Oblig.
1 0400.211.01.323.00 2024 (191),,,ERAIKIN/BESTEL.ERAIK.,144249.0,144249.0,0.0,103917.7,40331.3,103917.7,79338.12
1 0400.211.01.333.10 2024 (226),,,ERAIKINAK ETA BESTELAKO ,50000.0,50000.0,0.0,3666.93,46333.07,3666.93,1364.58
1 0400.211.01.333.20 2024 (233),,,ERAIKINAK ETA BESTELAKO ,25000.0,25000.0,0.0,11437.42,13562.58,11437.42,11437.42
1 0400.211.01.334.50 2024 (1751),,,ERAIKINAK ETA BESTELAKO ,25000.0,25000.0,0.0,18520.66,6479.34,18520.66,9915.7
1 0400.211.01.920.40 2024 (436),,,ERAIKINAK ETA BESTELAKO ,99775.18,87469.48,0.0,86392.37,1077.11,86392.37,49609.36
1 0400.212.01.134.00 2024 (28),,,MAKINERIA/INSTALAZ/TRESNERIA. ,566158.39,566158.39,0.0,532287.85,33870.54,532287.85,408168.81
1 0400.212.01.163.00 2024 (77),,,MAKINERIA/INSTALAZ/TRESNERIA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0400.212.01.164.00 2024 (85),,,MAKIN/INSTALAZ/TRESNERIA.,8559.1,8559.1,0.0,4792.64,3766.46,4792.64,4489.78
1 0400.212.01.165.00 2024 (96),,,MAKINERIA/INSTALAZ/TRESNERIA,90000.0,90000.0,0.0,67495.32,22504.68,67495.32,62387.72
1 0400.212.01.171.00 2024 (106),,,MAKINERIA/INSTALAZ/TRESNERIA,8500.0,11700.0,0.0,12231.73,-531.73,12231.73,11512.2
1 0400.212.01.231.50 2024 (2408),,,"MAKINARIA,INSTALAZIOAK ETA ",7183.77,7183.77,0.0,8441.87,-1258.1,8441.87,7630.29
1 0400.212.01.323.00 2024 (192),,,"MAKINERIA, INSTALAZIOAK ETA ",65113.51,65113.51,0.0,57909.09,7204.42,57909.09,53278.57
1 0400.212.01.333.10 2024 (787),,,"MAKINERIA, INSTALAZIOAK ETA ",13240.52,13240.52,0.0,17740.97,-4500.45,17740.97,14385.72
1 0400.212.01.333.20 2024 (993),,,"MAKINERIA, INSTALAZIOAK ETA ",18766.34,18766.34,0.0,15647.58,3118.76,15647.58,12366.15
1 0400.212.01.334.50 2024 (1752),,,"MAKINERIA, INSTALAZAIOAK ETA ",50000.0,50000.0,0.0,41918.31,8081.69,41918.31,39705.67
