#Partida,,,Has.ko aurrek.,B. betiko aurrek.,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0400.160.04.164.00 2024,,ELKARKIDETZAREN KUOTAK,1091.24,1091.24,232.71,858.53,232.71,232.71,232.71,232.71
1 0400.160.04.165.00 2024,,ELKARKIDETZAREN KUOTAK,1169.19,1169.19,310.28,858.91,310.28,310.28,310.28,310.28
1 0400.160.04.171.00 2024,,ELKARKIDETZAREN KUOTAK,2182.48,2182.48,465.42,1717.06,465.42,465.42,465.42,465.42
1 0400.160.04.323.00 2024,,ELKARKIDETZAREN KUOTAK,3273.72,3273.72,930.84,2342.88,930.84,930.84,930.84,930.84
1 0400.160.04.920.40 2024,,ELKARKIDETZAREN KUOTAK,2728.1,2728.1,698.13,2029.97,698.13,698.13,698.13,698.13
1 0400.210.01.153.40 2024,,AZPIEGITURA ETA ONDASUN NATURALAK,190000.0,190000.0,60428.97,129571.03,60428.97,13336.89,9129.5,8330.51
1 0400.210.01.153.40 2023,,AZPIEGITURA ETA ONDASUN NATURALAK,0.0,0.0,3136.82,-3136.82,3136.82,0.0,2008.73,828.04
1 0400.210.01.454.00 2024,,AZPIEGITURA ETA ONDASUN NATURALAK,73500.0,73500.0,38000.83,35499.17,38000.83,1016.4,1016.4,1016.4
1 0400.210.01.454.00 2023,,AZPIEGITURA ETA ONDASUN NATURALAK,0.0,0.0,11118.62,-11118.62,11118.62,0.0,6754.22,6754.22
1 0400.211.01.231.50 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0400.211.01.231.90 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,60000.0,60000.0,1683.95,58316.05,1683.95,1360.4,0.0,0.0
1 0400.211.01.231.90 2023,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,48315.18,-48315.18,48315.18,0.0,48315.18,181.38
1 0400.211.01.323.00 2024,,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,144249.0,144249.0,26655.62,117593.38,26655.62,13691.03,10721.69,10698.73
1 0400.211.01.323.00 2023,,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,0.0,0.0,2984.9,-2984.9,2984.9,0.0,964.78,964.78
1 0400.211.01.333.10 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,50000.0,50000.0,2038.96,47961.04,2038.96,0.0,0.0,0.0
1 0400.211.01.333.10 2023,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,4265.25,-4265.25,4265.25,0.0,4265.25,2178.0
1 0400.211.01.333.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,25000.0,25000.0,2183.94,22816.06,2183.94,96.25,96.25,79.81
1 0400.211.01.333.20 2023,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,500.0,-500.0,500.0,0.0,0.0,0.0
1 0400.211.01.334.50 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,25000.0,25000.0,7082.38,17917.62,7082.38,3890.3,3890.3,158.66
1 0400.211.01.334.50 2023,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,4668.36,-4668.36,4668.36,0.0,4645.56,655.85
1 0400.211.01.920.40 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,99775.18,99775.18,33064.25,66710.93,33064.25,5239.84,5178.11,4689.11
1 0400.212.01.134.00 2024,,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,566158.39,566158.39,461827.41,104330.98,461827.41,37.56,0.0,0.0
1 0400.212.01.134.00 2023,,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,0.0,0.0,23218.99,-23218.99,23218.99,0.0,1301.71,1301.71
1 0400.212.01.163.00 2024,,MAKINERIA/INSTALAZ/TRESNERIA,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0400.212.01.164.00 2024,,MAKIN/INSTALAZ/TRESNERIA.MANTENIM.,8559.1,8559.1,4179.37,4379.73,4179.37,31.19,0.0,0.0
1 0400.212.01.165.00 2024,,MAKINERIA/INSTALAZ/TRESNERIA,90000.0,90000.0,21193.49,68806.51,21193.49,49.25,0.0,0.0
1 0400.212.01.165.00 2023,,MAKINERIA/INSTALAZ/TRESNERIA,0.0,0.0,17998.75,-17998.75,17998.75,0.0,17998.75,17998.75
